,bot,bot_rank,user,user_rank,user_color,winner,outcome,ranked
24599671,katrain-2k,-1.499860143366849,chocobanana,5.3679090436348496,black,white,Resignation,True
24654923,katrain-influence,6.826719221854962,HeyHeyTaeTae,10.911605513040676,black,white,10.5 points,True
24656918,katrain-territory,6.858252865083045,angler,9.659403657516172,black,white,38.5 points,True
24664728,katrain-2d,-2.7113540713446156,10298660755,-1.9376481789231192,black,black,1.5 points,True
24668305,katrain-territory,6.163558768226512,biz20,8.64914478258368,black,white,74.5 points,True
24656992,katrain-balanced,9.590855816272434,EvAderth,8.782650691184976,black,white,4.5 points,True
24599731,katrain-2k,-1.530269256549328,chocobanana,5.432099143652444,black,white,Resignation,True
24607464,katrain-weighted,2.550351685247069,Jaafar,5.936390962623012,black,white,0.5 points,True
24654851,katrain-influence,7.026312640498226,HeyHeyTaeTae,10.678360700717022,black,white,8.5 points,True
24608157,katrain-10k,9.73849342635932,Gogo082015,14.254544736838385,black,white,366.5 points,False
24654177,katrain-local,3.74749861552257,HeyHeyTaeTae,10.31691927118895,black,white,Resignation,True
24664333,katrain-2d,-2.5257059452884505,10298660755,-2.1596115888813614,black,white,Resignation,True
24617996,katrain-weighted,1.025594568629522,Jaafar,6.186946473907167,black,white,Resignation,True
24656719,katrain-territory,7.284037468754981,angler,9.129692970280175,black,white,12.5 points,True
24647260,katrain-territory,7.32710572593907,biz20,8.635475398563482,black,black,23.5 points,True
24599794,katrain-2k,-1.5584384287190183,chocobanana,5.492298082545027,black,white,24.5 points,True
24648692,katrain-2k,-0.08494266265271477,123run,1.67433204923206,black,white,Resignation,True
24665007,katrain-14k,15.748764442806314,EVERM0RE,16.933714877357872,black,white,Timeout,True
24654359,katrain-local,3.6134822415281675,HeyHeyTaeTae,10.529997965613287,black,white,Resignation,True
24608332,katrain-10k,9.73849342635932,Gogo082015,14.254544736838385,black,black,9.5 points,False
24648829,katrain-2k,-0.2910879088049114,123run,1.8923444873781001,black,white,Resignation,True
24656833,katrain-territory,7.052105759601368,angler,9.420028037266245,black,white,33.5 points,True
24599944,katrain-2k,-1.572279587559585,chocobanana,5.549395507528391,black,black,27.5 points,True
